full_date,date_key,year,quarter,quarter_name,month,month_name,year_month,week,day,day_of_week,day_name,is_weekend,is_month_end
2016-01-01,20160101,2016,1,Q1 2016,1,January,2016-01,53,1,5,Friday,0,0
2016-01-02,20160102,2016,1,Q1 2016,1,January,2016-01,53,2,6,Saturday,1,0
2016-01-03,20160103,2016,1,Q1 2016,1,January,2016-01,53,3,7,Sunday,1,0
2016-01-04,20160104,2016,1,Q1 2016,1,January,2016-01,1,4,1,Monday,0,0
2016-01-05,20160105,2016,1,Q1 2016,1,January,2016-01,1,5,2,Tuesday,0,0
2016-01-06,20160106,2016,1,Q1 2016,1,January,2016-01,1,6,3,Wednesday,0,0
2016-01-07,20160107,2016,1,Q1 2016,1,January,2016-01,1,7,4,Thursday,0,0
2016-01-08,20160108,2016,1,Q1 2016,1,January,2016-01,1,8,5,Friday,0,0
2016-01-09,20160109,2016,1,Q1 2016,1,January,2016-01,1,9,6,Saturday,1,0
2016-01-10,20160110,2016,1,Q1 2016,1,January,2016-01,1,10,7,Sunday,1,0
2016-01-11,20160111,2016,1,Q1 2016,1,January,2016-01,2,11,1,Monday,0,0
2016-01-12,20160112,2016,1,Q1 2016,1,January,2016-01,2,12,2,Tuesday,0,0
2016-01-13,20160113,2016,1,Q1 2016,1,January,2016-01,2,13,3,Wednesday,0,0
2016-01-14,20160114,2016,1,Q1 2016,1,January,2016-01,2,14,4,Thursday,0,0
2016-01-15,20160115,2016,1,Q1 2016,1,January,2016-01,2,15,5,Friday,0,0
2016-01-16,20160116,2016,1,Q1 2016,1,January,2016-01,2,16,6,Saturday,1,0
2016-01-17,20160117,2016,1,Q1 2016,1,January,2016-01,2,17,7,Sunday,1,0
2016-01-18,20160118,2016,1,Q1 2016,1,January,2016-01,3,18,1,Monday,0,0
2016-01-19,20160119,2016,1,Q1 2016,1,January,2016-01,3,19,2,Tuesday,0,0
2016-01-20,20160120,2016,1,Q1 2016,1,January,2016-01,3,20,3,Wednesday,0,0
2016-01-21,20160121,2016,1,Q1 2016,1,January,2016-01,3,21,4,Thursday,0,0
2016-01-22,20160122,2016,1,Q1 2016,1,January,2016-01,3,22,5,Friday,0,0
2016-01-23,20160123,2016,1,Q1 2016,1,January,2016-01,3,23,6,Saturday,1,0
2016-01-24,20160124,2016,1,Q1 2016,1,January,2016-01,3,24,7,Sunday,1,0
2016-01-25,20160125,2016,1,Q1 2016,1,January,2016-01,4,25,1,Monday,0,0
2016-01-26,20160126,2016,1,Q1 2016,1,January,2016-01,4,26,2,Tuesday,0,0
2016-01-27,20160127,2016,1,Q1 2016,1,January,2016-01,4,27,3,Wednesday,0,0
2016-01-28,20160128,2016,1,Q1 2016,1,January,2016-01,4,28,4,Thursday,0,0
2016-01-29,20160129,2016,1,Q1 2016,1,January,2016-01,4,29,5,Friday,0,0
2016-01-30,20160130,2016,1,Q1 2016,1,January,2016-01,4,30,6,Saturday,1,0
2016-01-31,20160131,2016,1,Q1 2016,1,January,2016-01,4,31,7,Sunday,1,1
2016-02-01,20160201,2016,1,Q1 2016,2,February,2016-02,5,1,1,Monday,0,0
2016-02-02,20160202,2016,1,Q1 2016,2,February,2016-02,5,2,2,Tuesday,0,0
2016-02-03,20160203,2016,1,Q1 2016,2,February,2016-02,5,3,3,Wednesday,0,0
2016-02-04,20160204,2016,1,Q1 2016,2,February,2016-02,5,4,4,Thursday,0,0
2016-02-05,20160205,2016,1,Q1 2016,2,February,2016-02,5,5,5,Friday,0,0
2016-02-06,20160206,2016,1,Q1 2016,2,February,2016-02,5,6,6,Saturday,1,0
2016-02-07,20160207,2016,1,Q1 2016,2,February,2016-02,5,7,7,Sunday,1,0
2016-02-08,20160208,2016,1,Q1 2016,2,February,2016-02,6,8,1,Monday,0,0
2016-02-09,20160209,2016,1,Q1 2016,2,February,2016-02,6,9,2,Tuesday,0,0
2016-02-10,20160210,2016,1,Q1 2016,2,February,2016-02,6,10,3,Wednesday,0,0
2016-02-11,20160211,2016,1,Q1 2016,2,February,2016-02,6,11,4,Thursday,0,0
2016-02-12,20160212,2016,1,Q1 2016,2,February,2016-02,6,12,5,Friday,0,0
2016-02-13,20160213,2016,1,Q1 2016,2,February,2016-02,6,13,6,Saturday,1,0
2016-02-14,20160214,2016,1,Q1 2016,2,February,2016-02,6,14,7,Sunday,1,0
