geolocation_zip_code_prefix,latitude,longitude,city,state,location_key
1001,-23.550380539269455,-46.63402699777831,Sao Paulo,SP,1
1002,-23.548551065785627,-46.63507239078997,Sao Paulo,SP,2
1003,-23.54897652899767,-46.63531311226845,Sao Paulo,SP,3
1004,-23.549534948092827,-46.634770582289825,Sao Paulo,SP,4
1005,-23.54961248124544,-46.63653202553522,Sao Paulo,SP,5
1006,-23.550317224536894,-46.63622549584506,Sao Paulo,SP,6
1007,-23.55034858312654,-46.63734214071785,Sao Paulo,SP,7
1008,-23.545395979326535,-46.635598592835734,Sao Paulo,SP,8
1009,-23.54693540437998,-46.63658792659698,Sao Paulo,SP,9
1010,-23.54565700582837,-46.6346895341229,Sao Paulo,SP,10
1011,-23.546690486964888,-46.6354469588072,Sao Paulo,SP,11
1012,-23.54774227061568,-46.63488111172018,Sao Paulo,SP,12
1013,-23.547307871775622,-46.63423572661436,Sao Paulo,SP,13
1014,-23.546065945322862,-46.63358224756194,Sao Paulo,SP,14
1015,-23.54797349999999,-46.631701306827225,Sao Paulo,SP,15
1016,-23.549251053963594,-46.632135517086056,Sao Paulo,SP,16
1017,-23.54968991921072,-46.63111414126611,Sao Paulo,SP,17
1018,-23.550598321195395,-46.63188,Sao Paulo,SP,18
1019,-23.55166351540767,-46.63093168887411,Sao Paulo,SP,19
1020,-23.552494470713864,-46.62960898251487,Sao Paulo,SP,20
1021,-23.544184662502165,-46.63214268206478,Sao Paulo,SP,21
1022,-23.544497629753597,-46.631461751457095,Sao Paulo,SP,22
1023,-23.542092880648095,-46.63137717319231,Sao Paulo,SP,23
1024,-23.541389521053937,-46.62989908781218,Sao Paulo,SP,24
1025,-23.540410813203355,-46.631264935195325,Sao Paulo,SP,25
1026,-23.539439503750906,-46.63284391414975,Sao Paulo,SP,26
1027,-23.53801519954993,-46.63043882598531,Sao Paulo,SP,27
1028,-23.536027749379617,-46.632878533585306,Sao Paulo,SP,28
1029,-23.541095849847075,-46.63297044005707,Sao Paulo,SP,29
1030,-23.538399296150907,-46.63297206480466,Sao Paulo,SP,30
1031,-23.542520789115148,-46.63533516134283,Sao Paulo,SP,31
1032,-23.540742303912527,-46.63525058950317,Sao Paulo,SP,32
1033,-23.540035348866123,-46.63581027505907,Sao Paulo,SP,33
1034,-23.54239162719593,-46.63745558840666,Sao Paulo,SP,34
1035,-23.540983825979165,-46.64256855760085,Sao Paulo,SP,35
1036,-23.541700023861782,-46.64131782056096,Sao Paulo,SP,36
1037,-23.545410010472594,-46.63881853301754,Sao Paulo,SP,37
1038,-23.544139809596672,-46.64041077352986,Sao Paulo,SP,38
1039,-23.5417538351319,-46.63976074078128,Sao Paulo,SP,39
1040,-23.5406306991459,-46.63784230127247,Sao Paulo,SP,40
1041,-23.543712849558617,-46.6402632336835,Sao Paulo,SP,41
1042,-23.54488036525475,-46.64032833172723,Sao Paulo,SP,42
1043,-23.545781968088136,-46.641376633648726,Sao Paulo,SP,43
1044,-23.545662511930896,-46.641384647440745,Sao Paulo,SP,44
1045,-23.542392919396363,-46.64280268887412,Sao Paulo,SP,45
1046,-23.54608112703553,-46.64381018541167,Sao Paulo,SP,46
1047,-23.54627311241268,-46.64122516971552,Sao Paulo,SP,47
1048,-23.547162090484132,-46.639559140501504,Sao Paulo,SP,48
1049,-23.54775736886144,-46.64021604302036,Sao Paulo,SP,49
1050,-23.54898587913322,-46.643139396906825,Sao Paulo,SP,50
1101,-23.526091267557256,-46.63137211754856,Sao Paulo,SP,51
1102,-23.52261021648681,-46.62942387523806,Sao Paulo,SP,52
1103,-23.535453394396647,-46.63170629156326,Sao Paulo,SP,53
1104,-23.53500886427381,-46.62963536441802,Sao Paulo,SP,54
1105,-23.534220153759595,-46.62957259920161,Sao Paulo,SP,55
1106,-23.531046789341573,-46.62865354731952,Sao Paulo,SP,56
1107,-23.527488477667426,-46.62717387010217,Sao Paulo,SP,57
1108,-23.52756187663738,-46.629436653975944,Sao Paulo,SP,58
1109,-23.52443609001689,-46.627455970858094,Sao Paulo,SP,59
1120,-23.530534789485802,-46.63934288253786,Sao Paulo,SP,60
1121,-23.528535045242062,-46.63568569080736,Sao Paulo,SP,61
1122,-23.531280767701485,-46.63949768858565,Sao Paulo,SP,62
1123,-23.52934877491485,-46.63675764418032,Sao Paulo,SP,63
1124,-23.528344494864104,-46.63298459547579,Sao Paulo,SP,64
1125,-23.526997009435053,-46.64019737301636,Sao Paulo,SP,65
1126,-23.526578205248406,-46.63928793769115,Sao Paulo,SP,66
1127,-23.525865151956253,-46.640097743551244,Sao Paulo,SP,67
1128,-23.52383699278664,-46.640687789197344,Sao Paulo,SP,68
1129,-23.524372634196983,-46.64555244317329,Sao Paulo,SP,69
1130,-23.523328708292496,-46.64480241771019,Sao Paulo,SP,70
1131,-23.522384592979957,-46.6458632305816,Sao Paulo,SP,71
1132,-23.520905455450425,-46.64840659893825,Sao Paulo,SP,72
1133,-23.519658499855773,-46.65398781890184,Sao Paulo,SP,73
1134,-23.51867680707737,-46.6531159131789,Sao Paulo,SP,74
1135,-23.526908245080445,-46.65089423910785,Sao Paulo,SP,75
1136,-23.52350959838998,-46.66362145420966,Sao Paulo,SP,76
1137,-23.523144766840574,-46.652821735882625,Sao Paulo,SP,77
1138,-23.52250374604707,-46.65541993450284,Sao Paulo,SP,78
1139,-23.52076037607479,-46.66428988130433,Sao Paulo,SP,79
1140,-23.51877961656762,-46.668707598923476,Sao Paulo,SP,80
1141,-23.52011919677996,-46.66584000098096,Sao Paulo,SP,81
1142,-23.51993430515264,-46.6251300217966,Sao Paulo,SP,82
1144,-23.52375483986375,-46.67201579877662,Sao Paulo,SP,83
1150,-23.53286949347912,-46.6574641552888,Sao Paulo,SP,84
1151,-23.531294001384985,-46.65640409394658,Sao Paulo,SP,85
1152,-23.52976297446478,-46.655657718208005,Sao Paulo,SP,86
1153,-23.528899184286484,-46.653736572999,Sao Paulo,SP,87
1154,-23.53105219053323,-46.65897749694157,Sao Paulo,SP,88
1155,-23.52899269085843,-46.66332089785909,Sao Paulo,SP,89
1156,-23.5295707260661,-46.665109917017695,Sao Paulo,SP,90
1189,-23.53210825506378,-46.63839470107914,Sao Paulo,SP,91
1200,-23.531567773241413,-46.64986907784642,Sao Paulo,SP,92
1201,-23.53560024965375,-46.64935629739165,Sao Paulo,SP,93
1202,-23.53254550916093,-46.649174992786634,Sao Paulo,SP,94
1203,-23.535415346240402,-46.64578356709849,Sao Paulo,SP,95
1204,-23.53740232530147,-46.64333793316141,Sao Paulo,SP,96
1205,-23.540422285042407,-46.639694812799306,Sao Paulo,SP,97
1206,-23.536609489728185,-46.64244480598998,Sao Paulo,SP,98
1207,-23.539369243407013,-46.638486209821714,Sao Paulo,SP,99
1208,-23.538629283657414,-46.63879850083671,Sao Paulo,SP,100
1209,-23.540729963085703,-46.64193701762936,Sao Paulo,SP,101
1210,-23.54001446169717,-46.64255169727044,Sao Paulo,SP,102
1211,-23.53775281626178,-46.64828925797796,Sao Paulo,SP,103
1212,-23.537493461278807,-46.63974517262972,Sao Paulo,SP,104
1213,-23.53641828005074,-46.64006458881068,Sao Paulo,SP,105
