order_id	purchase_date	category	state	city	product_price	freight	total_item_value	delivery_status	delivery_turnaround_days	rating	customer_segment
00010242fe8c5a6d1ba2dd792cb16214	2017-09-13	Cool Stuff	RJ	Campos Dos Goytacazes	58.9	13.29	72.19	On-Time	7.6	5	Lost / Hibernating
00018f77f2f0320c557190d7a144bdd3	2017-04-26	Pet Shop	SP	Santa Fe Do Sul	239.9	19.93	259.83	On-Time	16.2	4	Customers Needing Attention
000229ec398224ef6ca0657da4fc703e	2018-01-14	Furniture Decor	MG	Para De Minas	199.0	17.87	216.87	On-Time	7.9	5	About To Sleep
00024acbcdf0a6daa1e931b038114c75	2018-08-08	Perfumery	SP	Atibaia	12.99	12.79	25.78	On-Time	6.1	4	New Customers
00042b26cf59d7ce69dfabb4e55b4fd9	2017-02-04	Garden Tools	SP	Varzea Paulista	199.9	18.14	218.04	On-Time	25.1	5	Lost / Hibernating
00048cc3ae777c65dbb7d2a0634bc1ea	2017-05-15	Housewares	MG	Uberaba	21.9	12.69	34.59	On-Time	6.7	4	Lost / Hibernating
00054e8431b9d7675808bcb819fb4a32	2017-12-10	Telephony	SP	Guararapes	19.9	11.85	31.75	On-Time	8.4	4	About To Sleep
000576fe39319847cbb9d288c5617fa6	2018-07-04	Garden Tools	SP	Praia Grande	810.0	70.75	880.75	On-Time	5.1	5	Potential Loyalists
0005a1a1728c9d785b8e2b08b904576c	2018-03-19	Health Beauty	SP	Santos	145.95	11.65	157.6	Delayed	10.0	1	Potential Loyalists
0005f50442cb953dcd1d21e1fb923495	2018-07-02	Books Technical	SP	Jandira	53.99	11.4	65.39	On-Time	2.1	4	New Customers
00061f2a7bc09da83e415a52dc8a4af1	2018-03-24	Health Beauty	SP	Piracicaba	59.99	8.88	68.87	On-Time	4.1	5	Promising Recent
00063b381e2406b52ad429470734ebd5	2018-07-27	Fashion Bags Accessories	SP	Monte Alto	45.0	12.98	57.98	Delayed	10.9	5	New Customers
0006ec9db01a64e59a68b2c340bf65a7	2018-07-24	Bed Bath Table	RJ	Rio De Janeiro	74.0	23.32	97.32	On-Time	6.3	5	New Customers
0008288aa423d2a3f00fcb17cd7d8719	2018-02-13	Garden Tools	SP	Jandira	49.9	13.37	63.27	On-Time	12.7	5	Potential Loyalists
0008288aa423d2a3f00fcb17cd7d8719	2018-02-13	Garden Tools	SP	Jandira	49.9	13.37	63.27	On-Time	12.7	5	Potential Loyalists
0009792311464db532ff765bf7b182ae	2018-08-14	Sports Leisure	MG	Alfenas	99.9	27.65	127.55	On-Time	7.6	5	Potential Loyalists
0009c9a17f916a706d71784483a5d643	2018-04-25	Consoles Games	SP	Campinas	639.0	11.34	650.34	On-Time	5.4	4	Potential Loyalists
000aed2e25dbad2f9ddb70584c5a2ded	2018-05-11	Perfumery	SP	Santa Barbara D'Oeste	144.0	8.77	152.77	On-Time	6.8	1	Potential Loyalists
000c3e6612759851cc3cbb4b83257986	2017-08-12	Sports Leisure	SP	Jundiai	99.0	13.71	112.71	On-Time	7.2	5	Lost / Hibernating
000e562887b1f2006d75e0be9558292e	2018-02-22	Cool Stuff	SP	Cubatao	25.0	16.11	41.11	On-Time	18.3	3	Promising Recent
000e63d38ae8c00bbcb5a30573b99628	2018-03-23	Bed Bath Table	SP	Sao Paulo	47.9	8.88	56.78	On-Time	3.8	3	Promising Recent
000e906b789b55f64edcb1f84030f90d	2017-11-21	Telephony	SP	Santa Cruz Do Rio Pardo	21.99	11.85	33.84	Delayed	17.9	3	About To Sleep
000f25f4d72195062c040b12dce9a18a	2018-03-07	Office Furniture	RJ	Volta Redonda	119.99	44.4	164.39	On-Time	15.3	4	Potential Loyalists
